ClaimID,PolicyID,CustomerName,PolicyType,PremiumAmount,StartDate,ClaimType,ClaimAmount,ClaimStatus,ClaimDate,AdjusterID,AdjusterName,Region
8cbecaf6-5fad-448e-9ef5-24e97ed02b5d,10673,Vanessa Mayo,Life,516.63,2022-02-27,Liability,231.35,Paid,2024-04-24,40,Xavier George,East
d36432ca-ea7a-4dac-b6ca-af2c94341063,10434,James Walter,Health,573.03,2023-10-25,Theft,412.26,In Review,2024-03-31,43,Kimberly Miranda,East
ea49b47b-516a-40c0-8380-01f579aec853,10464,Courtney Peterson,Life,1875.1,2020-10-13,Liability,1322.35,Paid,2021-01-13,42,Dean Richardson,Central
f4444676-317c-40dc-a507-d5797500170a,10391,Fernando Gutierrez,Auto,2974.36,2021-08-26,Theft,382.5,Paid,2022-02-06,31,Jennifer Potter,East
9c4f6b31-9fbd-403f-ae3d-d61f65a12547,10951,Ian Brennan,Life,1921.4,2022-09-27,Medical,690.49,Paid,2023-07-30,7,Christopher Miller,North
c7c19b1c-19ea-4573-9a29-95467ced328d,10947,Stephanie Hudson,Home,669.59,2023-10-07,Medical,338.31,In Review,2024-02-06,29,Jamie Sanchez,South
82b70936-df06-47e9-94ce-4741123e6887,10124,Jonathon Alvarez,Auto,597.14,2020-11-22,Theft,231.7,Closed,2021-05-14,21,Thomas Fitzgerald,South
6a0ce0d3-19e7-4251-9c02-373347233ad1,10265,Angela Wallace,Home,2668.91,2024-03-08,Liability,912.07,Paid,2025-02-20,9,Ricardo Cook,North
8b8264cc-bfa9-4ad6-8566-394ce824cf37,10282,Lisa Hill,Health,1212.59,2020-12-20,Fire,264.84,In Review,2025-01-18,38,Stephen Wilson,West
7f8ab854-c7b4-4856-9de7-04f211708d31,10351,Courtney Patrick,Life,1658.47,2023-11-22,Liability,335.65,In Review,2025-02-07,25,Rebecca Ayala,West
b4b66730-e72b-47af-b816-c2edd4e8949e,10147,Regina Bass,Auto,1945.82,2020-09-15,Liability,333.84,Denied,2024-06-05,30,Kayla Cox,West
1c00dbe3-cdde-49e8-88f3-1e03fad81f5f,10039,Tiffany Mays,Health,2147.43,2023-09-03,Liability,1592.31,In Review,2024-08-05,7,Christopher Miller,North
0d9881c7-bd87-4939-b1f5-59b38be9957f,10838,Bradley Simmons,Home,1278.46,2021-06-06,Theft,415.78,Closed,2025-05-22,42,Dean Richardson,Central
33f70e20-2f46-4cb0-9bfe-5717889e36cc,10908,Margaret Franklin,Life,1222.91,2020-12-14,Liability,269.06,In Review,2021-01-25,14,Maria Jones,North
ee7de0fc-dbe2-4c10-800d-c3da58368e30,10819,Benjamin Ibarra,Auto,447.86,2021-01-27,Medical,220.63,Paid,2021-11-18,15,Lisa Padilla,South
0ad452fe-02de-4ee4-a312-cbb64a95f087,10059,Daniel Edwards,Auto,422.11,2024-11-13,Medical,195.81,Paid,2025-03-28,30,Kayla Cox,West
42c85aa0-f63e-4c1e-b3c9-e2f8404db792,10656,Michael Fuller,Home,644.47,2023-02-15,Medical,272.77,Paid,2025-05-23,7,Christopher Miller,North
b7ba5ce5-1a68-44da-84bf-99e9e895ff4d,10484,Amy Dyer,Auto,1994.41,2024-06-15,Fire,1541.62,Paid,2025-05-19,43,Kimberly Miranda,East
f1824213-d21a-46aa-9e3d-664fbc965b76,10473,Jaime Salas,Auto,416.53,2022-08-15,Fire,85.98,Paid,2024-09-03,10,Megan Johnson,Central
8b46d56d-dd59-4654-8b9b-bc132a653204,10095,Pamela Clarke,Auto,2381.61,2021-11-25,Medical,1975.22,Paid,2022-12-20,6,Annette Knox,South
798bf8b2-ea5c-4039-ba2c-3944208bc89e,10011,Andrew Henderson,Health,355.58,2022-07-02,Theft,267.4,Paid,2022-08-07,48,Carol Martin,West
03667342-0b39-4a8f-9cca-5ce16f40ddd7,10127,Vincent Woods,Health,2508.64,2020-12-29,Fire,2485.94,Closed,2024-03-17,36,Robert Johnson Jr.,North
cb6630c3-4b2f-4fd0-be58-3df752260d8e,10747,Jill Walker,Life,1336.51,2025-02-26,Theft,439.14,Denied,2025-04-22,36,Robert Johnson Jr.,North
9f62701b-f784-4c7b-8436-b23b9f566e46,10111,Sally Horne,Home,1082.33,2024-01-03,Liability,267.29,Paid,2024-05-09,8,Wendy Mccoy,Central
7b6fc30c-8fc5-440c-8398-8043b56cbb35,10378,Jessica Ellis,Health,362.83,2023-07-14,Medical,157.73,Paid,2025-04-07,43,Kimberly Miranda,East
f29053e0-694d-46e5-989c-2152aa8cc84f,10445,Teresa Owen,Health,2494.56,2021-02-17,Medical,2330.53,Closed,2022-05-20,47,Joseph Myers,North
41deec02-c309-4a75-8edf-1ba5375eb4cf,10874,Kristin Vincent,Home,1403.58,2020-11-22,Theft,647.9,Open,2022-06-29,39,Fred Glenn,North
01734929-ccba-41a1-93e1-9e3903b12104,10870,Gary Lee,Life,2854.51,2023-02-17,Fire,1348.09,Paid,2025-03-01,37,Cristina Weiss,North
4f2f1ed1-f542-4d24-b68e-72e578db0a8f,10593,Alexandra Young,Home,791.08,2023-03-31,Liability,105.65,Paid,2024-02-27,43,Kimberly Miranda,East
b21cbb04-9985-46bf-8712-3152b4bf4300,10971,Marcia Case,Home,2091.91,2025-03-09,Medical,1783.15,Paid,2025-04-27,7,Christopher Miller,North
da43f95f-46d6-42ee-8673-1a1a468f4d72,10927,Elizabeth Crane,Auto,1025.43,2021-07-16,Fire,840.98,Closed,2024-03-14,24,Melinda Moody,South
592bcc1e-9955-4248-83e1-230387f0e877,10195,Amy Alexander,Auto,1215.38,2022-01-28,Theft,1134.08,Closed,2024-06-28,37,Cristina Weiss,North
1c557e34-b237-4728-8af9-73be4f09eedc,10994,Joseph Collier,Auto,1893.62,2021-03-02,Accident,1242.52,Closed,2023-03-07,36,Robert Johnson Jr.,North
be52a12a-78eb-4b90-bd3a-2013c2f674af,10237,Jessica Walsh,Auto,1058.09,2023-10-18,Liability,635.93,In Review,2024-10-28,42,Dean Richardson,Central
697ce08b-2aa8-4e5c-9785-ccb9af5f93f8,10157,Sheila Houston,Home,2114.77,2025-04-01,Liability,613.97,Paid,2025-04-27,43,Kimberly Miranda,East
6c5f4fd1-2c32-41b7-badc-46b51667bcb7,10927,Elizabeth Crane,Auto,1025.43,2021-07-16,Fire,721.2,Paid,2025-02-26,18,Joshua Wilson,Central
