PolicyID,CustomerName,PolicyType,StartDate,PremiumAmount
10001,Taylor Gates,Life,2020-08-30,1311.26
10002,Holly Walsh MD,Life,2022-01-01,2866.93
10003,Darius Walker,Home,2021-08-22,2276.38
10004,Stacy Clark,Auto,2022-02-06,1916.38
10005,Lauren Williams,Auto,2025-05-14,721.25
10006,Amber Flores,Home,2024-10-30,721.19
10007,Chelsea Carter,Life,2021-06-18,456.83
10008,Frances Jones,Auto,2021-09-17,2638.68
10009,Adam Gross,Home,2023-04-25,1923.01
10010,Sharon Rowe,Auto,2022-06-03,2211.8
10011,Andrew Henderson,Health,2022-07-02,355.58
10012,Kevin Garcia,Life,2022-02-13,2918.76
10013,Adam Parrish,Health,2021-03-18,2547.6
10014,Hannah Williamson,Life,2022-08-28,873.32
10015,Lori Burgess,Home,2021-11-03,790.93
10016,Heather Munoz,Life,2022-06-06,795.19
10017,Michael Joseph,Life,2021-11-09,1121.45
10018,Brian Underwood,Home,2020-09-02,1716.84
10019,Brandon Clark,Life,2022-01-02,1466.25
10020,Victor Owens,Auto,2021-09-19,1086.32
10021,Daniel Hill,Home,2021-03-28,1952.0
10022,Ashley Davis,Home,2020-08-07,676.63
10023,Jamie Schultz,Home,2023-06-08,1088.79
10024,Nicholas Hernandez,Health,2021-09-26,1289.18
10025,Mr. Bryan Simpson,Health,2021-10-24,1531.39
10026,Anthony Griffith,Life,2020-10-09,2419.98
10027,Lindsey Smith,Home,2023-01-07,839.12
10028,Justin Elliott,Life,2022-04-16,1688.43
10029,Linda Goodman DVM,Auto,2020-11-04,1899.52
10030,Shannon Lester,Home,2022-08-03,425.42
10031,Kevin Gonzalez,Auto,2024-12-09,1940.37
10032,Jessica Davis,Life,2022-06-09,760.42
10033,Lisa Wilson,Health,2022-12-20,475.64
10034,Lisa Fitzgerald,Life,2024-12-17,2861.99
10035,Sandy White,Auto,2024-09-10,2907.21
10036,James Morris,Home,2025-04-10,2482.67
10037,Tanya Rice,Life,2022-09-29,1122.46
10038,Michelle Atkins,Home,2025-01-05,563.71
10039,Tiffany Mays,Health,2023-09-03,2147.43
10040,Jared Torres,Health,2022-09-08,1488.41
10041,Erik Vasquez,Health,2021-10-04,629.5
10042,Jeffrey Mann,Home,2020-09-03,1636.98
10043,Stephen Sullivan,Life,2022-09-23,392.85
10044,Donald Haley,Home,2022-04-15,2755.17
10045,Bryan Haynes,Home,2020-11-10,998.71
10046,Laura Johnson,Life,2024-10-11,2088.81
10047,Aaron Evans,Health,2023-09-08,1141.62
10048,Julie Walker,Health,2021-08-06,1704.18
10049,Martha Flores,Life,2024-01-03,1776.12
10050,David Horton,Home,2023-01-19,799.11
10051,Paul Jones,Home,2022-09-07,2917.88
10052,Kimberly Jones,Health,2023-08-19,2392.86
10053,Stacie Norman,Auto,2020-08-29,2836.65
10054,Teresa Page,Auto,2022-06-18,2716.03
10055,Natalie Turner,Auto,2023-04-25,1914.33
10056,Kimberly Gonzalez,Home,2021-03-17,2789.06
10057,Allison Hayden,Home,2023-10-27,538.93
10058,Scott Foster,Health,2022-08-14,829.15
10059,Daniel Edwards,Auto,2024-11-13,422.11
10060,Jennifer Thomas,Health,2021-12-17,1178.39
10061,Stephanie Goodwin,Health,2022-06-12,1349.43
10062,Dennis Payne,Health,2021-02-18,1032.64
10063,Kayla Jones,Life,2023-01-10,2537.59
10064,Mark Garcia,Auto,2024-03-25,1263.23
10065,Nicole Mullins,Auto,2024-09-28,1058.52
10066,Kimberly Tate,Life,2023-11-23,1765.28
10067,Sandra Wilson,Life,2021-05-20,680.5
10068,Tara Snyder,Auto,2021-11-24,2465.93
10069,Laura Rodriguez,Life,2022-04-12,501.29
10070,Connor Jones MD,Health,2022-09-12,2964.59
10071,Erika Davis,Home,2020-08-29,2385.06
10072,Lisa Nash,Health,2021-04-19,836.53
10073,Troy Hunt,Auto,2023-12-04,314.91
10074,Tiffany Reyes,Life,2024-03-06,2501.75
10075,Lisa Murray,Home,2023-08-31,2208.51
10076,Lisa Kelley,Auto,2021-10-28,2268.32
10077,Heidi Floyd,Life,2020-09-04,2382.43
10078,Tristan Estrada,Home,2022-06-05,499.92
10079,Daniel Wilcox,Home,2023-06-26,1267.86
10080,Jill Mitchell,Life,2025-01-01,612.85
10081,Angela Harding,Home,2021-01-21,2630.38
10082,Kimberly Ramirez,Auto,2020-06-28,1982.9
10083,Debra Leon,Life,2023-08-31,1193.42
10084,Carlos Davis,Health,2020-11-18,471.61
10085,Albert Gibson,Auto,2023-04-14,1139.65
10086,Kathy Gray,Auto,2022-08-27,1177.99
10087,Samuel Myers,Life,2023-11-15,2269.94
10088,Isabel Simpson,Life,2023-03-28,2021.41
10089,Gregory Potts,Home,2023-01-21,2695.47
10090,Amber Durham,Auto,2022-03-09,1574.98
10091,Robert Rush,Home,2022-08-26,622.9
10092,Krystal Palmer,Auto,2023-11-19,2225.76
10093,Aaron Wilson,Auto,2023-09-08,2354.12
10094,Michelle Williamson,Health,2021-06-07,1815.45
10095,Pamela Clarke,Auto,2021-11-25,2381.61
10096,Ross Jordan,Home,2024-04-04,1633.25
10097,Charles Cook,Home,2023-10-29,1711.38
10098,Christian Knight,Health,2022-03-04,1454.36
10099,Edward Williams,Home,2021-11-06,368.63
10100,William Alexander,Life,2021-03-15,591.31
10101,Karen Hendricks,Health,2020-07-05,384.86
10102,Todd Daniels,Home,2022-05-27,2018.31
10103,Sarah Cruz,Home,2025-03-07,1148.76
10104,James Brown,Life,2024-11-04,1673.14
10105,Manuel Foster,Health,2021-01-13,2750.43
10106,Martha Bowman,Life,2021-09-22,973.09
10107,Brooke Cox,Health,2023-05-16,1408.03
10108,Rose Rios,Health,2023-02-13,2339.99
10109,Carol Woods,Auto,2021-05-23,917.76
10110,Kathryn Myers,Home,2022-09-24,507.85
10111,Sally Horne,Home,2024-01-03,1082.33
10112,Lawrence Johnson,Auto,2025-04-21,735.3
10113,Ryan Richardson,Life,2022-08-08,2810.18
10114,Thomas Gonzalez,Auto,2021-02-18,2481.93
10115,Shannon Blackwell,Home,2021-03-14,2010.19
10116,Robert Cooper,Home,2024-09-06,2652.94
10117,Kenneth Henry,Auto,2021-10-11,2469.91
10118,Patricia Choi,Auto,2020-07-23,803.74
10119,Laura Scott,Auto,2024-08-02,2709.91
10120,Sheila Werner,Home,2022-05-29,1756.22
10121,Michael Ward DDS,Auto,2025-03-24,2480.09
10122,Jessica Webster,Auto,2024-05-18,2719.45
10123,Dominic Murphy,Life,2020-10-06,1158.61
10124,Jonathon Alvarez,Auto,2020-11-22,597.14
10125,Amy Chavez,Home,2020-11-26,915.42
10126,Patricia Morton,Life,2025-01-17,1453.19
10127,Vincent Woods,Health,2020-12-29,2508.64
10128,Jeffrey Franklin,Home,2022-08-08,2623.97
10129,Sarah Willis,Home,2024-04-10,318.77
10130,Leslie Mcconnell,Health,2023-12-17,1679.02
10131,Justin Jenkins,Home,2020-11-20,1427.01
10132,Andrew Taylor,Health,2022-02-24,899.69
10133,William Robbins,Health,2020-08-25,623.64
10134,Johnathan Hughes,Home,2022-06-04,1211.56
10135,Kevin Powers,Auto,2024-12-06,2845.86
10136,Mathew Pugh,Auto,2023-02-03,1172.65
10137,Janet Holt,Health,2022-01-27,1700.73
10138,Ariel Reynolds,Life,2024-10-25,2198.15
10139,Nathan Murray,Health,2025-04-02,1281.8
10140,Connie Kent,Health,2022-01-15,2923.81
10141,Jamie Santos,Health,2021-04-17,2898.61
10142,Philip Stevens,Auto,2021-11-27,979.81
10143,Angie Mendoza,Auto,2022-06-24,1642.57
10144,Janet Brown,Auto,2021-05-22,1112.37
10145,Sabrina Martin,Health,2021-06-01,1069.07
10146,Wanda Harris,Life,2024-09-10,399.59
10147,Regina Bass,Auto,2020-09-15,1945.82
10148,Kim Burnett,Home,2024-08-10,1657.23
10149,Mrs. Laura Cox,Home,2024-10-15,438.99
10150,James Johnson,Home,2022-12-23,1052.35
10151,David Ferguson,Health,2024-05-09,2752.32
10152,Mr. William Obrien,Home,2024-12-15,946.82
10153,Amanda Perez,Health,2022-05-01,691.22
10154,Allison Holloway,Home,2024-08-08,1621.52
10155,Rebecca Pena,Life,2024-05-15,2961.26
10156,Matthew Pineda,Health,2024-11-05,953.55
10157,Sheila Houston,Home,2025-04-01,2114.77
10158,Michael Jackson,Auto,2023-04-02,2356.37
10159,Arthur Johnson,Health,2024-06-26,941.62
10160,Amanda Green,Auto,2025-03-19,2266.18
10161,John Moore,Auto,2024-11-21,1293.01
10162,Ian Stevens,Auto,2023-10-02,2007.23
10163,Ricardo Hall,Auto,2021-05-19,2010.53
10164,Charlene Brown,Home,2024-06-24,1746.59
10165,Richard Booth,Home,2021-02-25,543.78
10166,Paul Vasquez,Health,2022-10-12,2555.32
10167,Donald Miller,Health,2022-06-15,1166.11
10168,Amy Henson,Health,2024-05-23,803.6
10169,Jacob Owen,Home,2021-05-15,410.09
10170,Thomas Morales,Health,2024-11-20,1895.41
10171,Luis York,Auto,2022-12-09,2129.42
10172,Kathleen Schmidt,Home,2022-11-09,344.79
10173,Tanya Lin,Health,2020-10-07,1682.65
10174,Frederick Wells,Auto,2024-01-29,911.54
10175,Austin Cole,Health,2020-11-28,2041.97
10176,Dominic Peck,Life,2024-01-05,770.79
10177,Kristina Barton,Health,2021-07-29,2165.53
10178,Timothy Brewer,Life,2022-03-03,1344.19
10179,Wendy Carroll,Health,2023-03-13,2829.17
10180,Judith Gaines,Health,2022-12-21,671.31
10181,Ashley Rodriguez,Home,2022-03-20,1220.88
10182,Amy Smith,Home,2023-10-05,606.38
10183,Terri Wall,Life,2023-09-05,2796.67
10184,Kevin Fleming,Home,2024-10-15,2668.82
10185,Jorge Smith,Auto,2024-06-02,996.44
10186,Kathleen Heath,Auto,2020-08-31,2081.96
10187,Dana Bray,Life,2021-10-11,2506.5
10188,Mary Hobbs,Auto,2020-08-31,1799.04
10189,Adrian Stanley,Auto,2023-01-12,1730.06
10190,Martin Boyle,Health,2024-12-08,953.0
10191,Jonathan Johnston,Home,2022-02-26,551.38
10192,Christopher Sutton,Auto,2024-11-25,2722.48
10193,Connie Good,Auto,2021-02-05,2731.13
10194,Kristen Rose,Home,2021-05-11,2009.37
10195,Amy Alexander,Auto,2022-01-28,1215.38
10196,Catherine Cooke,Auto,2022-12-21,1242.87
10197,Jonathan Rivera,Home,2024-02-17,2260.08
10198,Joseph Hernandez,Health,2025-01-20,2722.2
10199,John Webb,Auto,2024-09-27,2695.13
10200,Lori Vargas,Home,2021-08-12,2405.66
10201,Mr. Cristian Moss,Auto,2024-09-23,2033.49
10202,David Ray,Auto,2020-12-10,527.18
10203,Mitchell Perkins,Health,2023-06-07,736.4
10204,Vanessa Elliott,Life,2023-10-24,2726.1
10205,Kenneth Johnson,Life,2020-10-08,1937.36
10206,Matthew Mason,Home,2023-06-25,324.83
